m/z,intensity
857.988830566406,6166606
858.0537109375,6634
858.113830566406,3198354
858.172668457031,132458
858.239013671875,1562312
858.292938232422,221668
858.363616943359,833804
858.419281005859,182294
858.488586425781,442734
858.544799804688,132204
858.612426757812,336306
858.661346435547,63690
858.69580078125,9716
858.737396240234,281490
858.800354003906,60992
858.863800048828,282890
858.915008544922,60178
858.988433837891,331588
859.050170898438,31076
859.112365722656,368930
859.175415039062,10128
859.237426757812,455610
859.30419921875,2682
859.362457275391,543352
859.433776855469,27298
859.488067626953,578478
859.614074707031,565262
859.688018798828,11230
859.738250732422,432618
859.800476074219,10294
859.86279296875,338282
859.931945800781,12142
859.986755371094,272540
860.112457275391,266808
860.236633300781,165560
860.298034667969,3056
860.361419677734,108860
860.425476074219,2932
860.486022949219,75316
860.612243652344,61364
860.738006591797,38400
860.865234375,20566
860.987731933594,23672
861.113525390625,47802
861.238159179688,59998
861.363159179688,56124
861.489227294922,40268
861.612823486328,28170
861.739624023438,20354
861.861694335938,14162
861.985656738281,32530
862.109710693359,54182
862.236877441406,67108
862.361877441406,85540
862.487060546875,79654
862.613037109375,69268
862.737762451172,53402
862.863403320312,32076
862.987701416016,16224
863.1142578125,2652
863.614624023438,16606
863.73974609375,54080
863.865112304688,86102
863.989227294922,119348
864.114807128906,112896
864.239318847656,99230
864.363922119141,69062
864.487121582031,47592
864.612152099609,26886
864.736755371094,14164
864.861999511719,2678
865.470825195312,2544
865.618713378906,16762
865.742858886719,49884
865.868408203125,79026
865.99365234375,91100
866.118743896484,102166
866.242767333984,82996
866.367309570312,62720
866.492614746094,42502
866.613616943359,11200
866.743103027344,2504
867.484191894531,2632
867.60986328125,8262
867.736633300781,2566
867.853881835938,2536
869.241271972656,15200
869.368255615234,68478
869.493347167969,103154
869.618774414062,93460
869.742126464844,66660
869.867095947266,52532
869.99267578125,27182
870.117614746094,8972
875.986633300781,8592
876.114166259766,6134
876.3564453125,2518
876.482513427734,12018
876.608306884766,21270
876.731872558594,15332
876.85693359375,9298
876.984558105469,8676
877.118896484375,44046
877.243774414062,70104
877.369445800781,69716
877.495239257812,68774
877.619201660156,49256
877.745574951172,32000
877.871215820312,14174
877.995269775391,5950
881.985229492188,8986
882.111602783203,5966
882.234741210938,8260
884.109405517578,12540
884.233764648438,38992
884.359497070312,42930
884.484985351562,51146
884.608703613281,46102
884.734619140625,34668
884.860290527344,24014
884.985229492188,5482
887.109985351562,16460
887.236083984375,31882
887.360473632812,42228
887.485717773438,33498
887.611175537109,18298
887.737091064453,6186
895.113830566406,2678
898.493041992188,14914
898.617736816406,25368
898.743469238281,27278
898.86767578125,25696
898.99365234375,20918
899.117736816406,17398
899.241729736328,18494
899.366394042969,10782
899.490478515625,8278
900.119140625,2932
900.2451171875,2612
900.369445800781,2688
900.483764648438,5684
900.733581542969,2958
900.859985351562,2618
902.1201171875,16028
902.244995117188,15202
902.370483398438,12978
902.494384765625,8088
904.662628173828,6032
904.73681640625,5092
904.815795898438,8502
904.893188476562,5706
925.978393554688,2638
926.122863769531,13776
926.266296386719,30088
926.409118652344,37490
926.552947998047,17918
926.695129394531,10256
926.838134765625,3630
927.546630859375,5492
927.631774902344,8730
927.714050292969,13204
927.796569824219,9572
927.881408691406,7970
931.554504394531,40552
931.697937011719,141150
931.840942382812,202006
